2024/09/11 19:51:06 loop 0     | ticker DWTN       | targetTicker DWTN         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 0     | ticker DWTN       | targetTicker DWTN         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 1     | ticker ELY        | targetTicker ELY          | figi BBG000CPCVY1         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 1     | ticker ELY        | targetTicker ELY          | figi BBG000CPCVY1         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 2     | ticker PRAN       | targetTicker PRAN         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 2     | ticker PRAN       | targetTicker PRAN         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 3     | ticker SMTS       | targetTicker SMTS         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 3     | ticker SMTS       | targetTicker SMTS         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 4     | ticker ALLB       | targetTicker ALLB         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 4     | ticker ALLB       | targetTicker ALLB         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 5     | ticker CKP        | targetTicker CKP          | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 5     | ticker CKP        | targetTicker CKP          | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 6     | ticker MAN        | targetTicker MAN          | figi BBG000BNMHS4         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 6     | ticker MAN        | targetTicker MAN          | figi BBG000BNMHS4         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 7     | ticker SR         | targetTicker SR           | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 7     | ticker SR         | targetTicker SR           | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 8     | ticker TOC        | targetTicker TOC          | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 8     | ticker TOC        | targetTicker TOC          | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 9     | ticker FCN        | targetTicker FCN          | figi BBG000K88H58         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 9     | ticker FCN        | targetTicker FCN          | figi BBG000K88H58         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 10    | ticker IHT        | targetTicker IHT          | figi BBG000D5TLG8         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 10    | ticker IHT        | targetTicker IHT          | figi BBG000D5TLG8         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 11    | ticker CRED       | targetTicker CRED         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 11    | ticker CRED       | targetTicker CRED         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 12    | ticker GFY        | targetTicker GFY          | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 12    | ticker GFY        | targetTicker GFY          | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 13    | ticker ORCL       | targetTicker ORCL         | figi BBG000BQLTW7         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 13    | ticker ORCL       | targetTicker ORCL         | figi BBG000BQLTW7         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 14    | ticker UGI        | targetTicker UGI          | figi BBG000BVYN55         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 14    | ticker UGI        | targetTicker UGI          | figi BBG000BVYN55         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 15    | ticker USAK       | targetTicker USAK         | figi BBG000CK6317         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 15    | ticker USAK       | targetTicker USAK         | figi BBG000CK6317         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 16    | ticker YANB       | targetTicker YANB         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 16    | ticker YANB       | targetTicker YANB         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 17    | ticker AFE        | targetTicker AFE          | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 17    | ticker AFE        | targetTicker AFE          | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 18    | ticker CBT        | targetTicker CBT          | figi BBG000BF3WW4         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 18    | ticker CBT        | targetTicker CBT          | figi BBG000BF3WW4         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 19    | ticker MBAY       | targetTicker MBAY         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 19    | ticker MBAY       | targetTicker MBAY         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 20    | ticker OII        | targetTicker OII          | figi BBG000CPBCL8         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 20    | ticker OII        | targetTicker OII          | figi BBG000CPBCL8         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 21    | ticker SNDS       | targetTicker SNDS         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 21    | ticker SNDS       | targetTicker SNDS         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 22    | ticker PSFC       | targetTicker PSFC         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 22    | ticker PSFC       | targetTicker PSFC         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 23    | ticker SPNS       | targetTicker SPNS         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 23    | ticker SPNS       | targetTicker SPNS         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 24    | ticker TSM        | targetTicker TSM          | figi BBG000BD8ZK0         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 24    | ticker TSM        | targetTicker TSM          | figi BBG000BD8ZK0         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 25    | ticker BDMS       | targetTicker BDMS         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 25    | ticker BDMS       | targetTicker BDMS         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 26    | ticker DGII       | targetTicker DGII         | figi BBG000BZ50L0         | date 2004-11-01 | action listing 2                           | error <nil>
2024/09/11 19:51:06 loop 26    | ticker DGII       | targetTicker DGII         | figi BBG000BZ50L0         | date 2004-11-01 | action listing exec                        | error <nil>
2024/09/11 19:51:06 loop 27    | ticker GVBK       | targetTicker GVBK         | figi                      | date 2004-11-01 | action listing 4                           | error <nil>
2024/09/11 19:51:06 loop 27    | ticker GVBK       | targetTicker GVBK         | figi                      | date 2004-11-01 | action listing exec                        | error <nil>
