securityid,ticker,figi,mindate,maxdate
80,CRDM,"",2003-09-10 00:00:00,2005-05-16 00:00:00
52,RIO,"",2003-09-10 00:00:00,2009-05-03 00:00:00
1,WIND,"",2003-09-10 00:00:00,2010-11-21 00:00:00
12315,LSTBV,"",2009-11-06 00:00:00,2009-11-19 00:00:00
53,AMPH,BBG000BW90S6,2003-09-10 00:00:00,
84,IX,BBG000BBBYZ7,2003-09-10 00:00:00,
85,DIGE,"",2003-09-10 00:00:00,2007-07-30 00:00:00
70,DPW,"",2003-09-10 00:00:00,
86,GRIF,BBG00PQD55R1,2003-09-10 00:00:00,2005-09-21 00:00:00
127,ATRO,BBG000BCLBY5,2003-09-10 00:00:00,
12655,BICK,"",2010-04-13 00:00:00,
77,MDKI,"",2003-09-10 00:00:00,2005-09-21 00:00:00
22,AG,BBG000DCCZW2,2003-09-10 00:00:00,2009-05-05 00:00:00
8,CTTY,"",2003-09-10 00:00:00,2007-08-26 00:00:00
30,SCM,BBG000BD0D72,2003-09-10 00:00:00,2007-09-03 00:00:00
56,ORLY,BBG000BGYWY6,2003-09-10 00:00:00,
33,IFOX,"",2003-09-10 00:00:00,2007-09-20 00:00:00
131,NEN,BBG000BPXZ43,2003-09-10 00:00:00,
111,PTG,BBG000HGX286,2003-09-10 00:00:00,2009-05-10 00:00:00
148,OPSW,"",2003-09-10 00:00:00,2007-09-20 00:00:00
12,INSW,"",2003-09-10 00:00:00,
90,CHL,BBG00JPVR1N5,2003-09-10 00:00:00,
144,PXR,"",2003-09-10 00:00:00,
65,ASFI,BBG000FMV3P6,2003-09-10 00:00:00,
89,UNH,BBG000CH5208,2003-09-10 00:00:00,
37,HIST,"",2003-09-10 00:00:00,2009-12-23 00:00:00
120,CVV,BBG000DVVTH0,2003-09-10 00:00:00,
133,WW,"",2003-09-10 00:00:00,2010-01-03 00:00:00
57,SBZ,"",2003-09-10 00:00:00,2005-11-14 00:00:00
12241,VMEDW,"",2009-10-30 00:00:00,2011-01-05 00:00:00
24,VOL,BBG000JCSL96,2003-09-10 00:00:00,2011-01-26 00:00:00
76,ANSI,"",2003-09-10 00:00:00,2005-11-29 00:00:00
10021,FMR,"",2006-10-18 00:00:00,2011-02-09 00:00:00
39,FF,BBG000GDSKT7,2003-09-10 00:00:00,
119,WMI,BBG000BWVSR1,2003-09-10 00:00:00,2009-08-06 00:00:00
79,CEA,BBG000BPPHD2,2003-09-10 00:00:00,
6,PAAS,BBG000C0RGY3,2003-09-10 00:00:00,
12317,DYP,"",2009-11-06 00:00:00,2011-04-03 00:00:00
67,NAVI,"",2003-09-10 00:00:00,2011-04-24 00:00:00
28,DHM,"",2003-09-10 00:00:00,2011-06-08 00:00:00
12314,SKN,"",2009-11-05 00:00:00,2011-10-27 00:00:00
114,IBN,BBG000DRM643,2003-09-10 00:00:00,
88,PTNX,"",2003-09-10 00:00:00,2008-01-08 00:00:00
12319,ICLK,"",2009-11-06 00:00:00,2011-12-14 00:00:00
69,ATSN,"",2003-09-10 00:00:00,2006-04-30 00:00:00
136,PNNW,"",2003-09-10 00:00:00,2012-01-25 00:00:00
121,ESMC,BBG000DTJVZ4,2003-09-10 00:00:00,
10,MRTN,BBG000BPDJM1,2003-09-10 00:00:00,
123,NHI,BBG000CGWSJ3,2003-09-10 00:00:00,
125,TCB,"",2003-09-10 00:00:00,
115,VASO,"",2003-09-10 00:00:00,2006-05-25 00:00:00
95,WGR,"",2003-09-10 00:00:00,2006-08-23 00:00:00
116,GNSS,"",2003-09-10 00:00:00,2008-01-27 00:00:00
132,SNY,BBG000BBD5N1,2003-09-10 00:00:00,
66,CYTO,"",2003-09-10 00:00:00,2008-05-08 00:00:00
82,ATS,"",2003-09-10 00:00:00,2008-08-07 00:00:00
12654,CERP,"",2010-04-13 00:00:00,2012-12-16 00:00:00
150,MTSP,"",2003-09-10 00:00:00,2008-09-01 00:00:00
147,NGS,BBG000HGQ5N0,2003-09-10 00:00:00,
48,SPZN,"",2003-09-10 00:00:00,2003-10-13 00:00:00
71,PNWB,"",2003-09-10 00:00:00,2003-11-02 00:00:00
45,FAOO,"",2003-09-10 00:00:00,2003-12-02 00:00:00
68,XTRM,"",2003-09-10 00:00:00,2003-12-11 00:00:00
62,ERTH,"",2003-09-10 00:00:00,2004-03-07 00:00:00
59,NSCN,"",2003-09-10 00:00:00,2004-04-18 00:00:00
55,OPTI,"",2003-09-10 00:00:00,2004-05-25 00:00:00
99,OPTK,"",2003-09-10 00:00:00,2004-05-31 00:00:00
27,BLB,"",2003-09-10 00:00:00,2004-06-23 00:00:00
96,BRAN,"",2003-09-10 00:00:00,2004-07-08 00:00:00
128,JOL,"",2003-09-10 00:00:00,2004-08-15 00:00:00
74,WMO,"",2003-09-10 00:00:00,2004-09-09 00:00:00
142,FCCG,"",2003-09-10 00:00:00,2004-10-14 00:00:00
110,LEON,"",2003-09-10 00:00:00,2004-12-22 00:00:00
83,CSLI,"",2003-09-10 00:00:00,2005-01-02 00:00:00
101,LODG,"",2003-09-10 00:00:00,2005-01-24 00:00:00
10461,YTEC,"",2007-03-14 00:00:00,2012-12-30 00:00:00
232,INV,BBG000BK53Y3,2003-09-10 00:00:00,2013-03-11 00:00:00
12242,CART,"",2009-10-30 00:00:00,
16646,NH,BBG00CVW3PF3,2016-06-02 00:00:00,
282,METG,"",2003-09-10 00:00:00,2005-03-31 00:00:00
204,RIMG,"",2003-09-10 00:00:00,2013-09-15 00:00:00
170,CITZ,"",2003-09-10 00:00:00,2013-11-12 00:00:00
258,PNTE,"",2003-09-10 00:00:00,2005-05-05 00:00:00
13,KVM,"",2003-09-10 00:00:00,2009-09-13 00:00:00
299,WIRE,BBG000CQCCK6,2003-09-10 00:00:00,
12321,PAP,"",2009-11-06 00:00:00,2010-04-12 00:00:00
224,STSI,"",2003-09-10 00:00:00,2014-06-03 00:00:00
164,SNE,BBG000BT7ZK6,2003-09-10 00:00:00,
165,TWN,BBG000BVT710,2003-09-10 00:00:00,
168,LFP,BBG000BNVB43,2003-09-10 00:00:00,2005-05-16 00:00:00
290,NUC,"",2003-09-10 00:00:00,2014-06-08 00:00:00
203,EMBX,"",2003-09-10 00:00:00,2007-01-21 00:00:00
235,FLXS,BBG000BJNBB3,2003-09-10 00:00:00,
230,ARTX,"",2003-09-10 00:00:00,
287,VITR,"",2003-09-10 00:00:00,2007-03-07 00:00:00
160,WGII,"",2003-09-10 00:00:00,2007-03-26 00:00:00
173,SNA,BBG000BT7JW9,2003-09-10 00:00:00,
12658,MLPN,"",2010-04-14 00:00:00,
183,RSG,BBG000BPXVJ6,2003-09-10 00:00:00,
12659,SDRL,"",2010-04-15 00:00:00,
234,ENMD,"",2003-09-10 00:00:00,2014-06-15 00:00:00
212,WWY,"",2003-09-10 00:00:00,2008-10-06 00:00:00
213,MTD,BBG000BZCKH3,2003-09-10 00:00:00,
161,OVBC,BBG000BW6NY2,2003-09-10 00:00:00,
153,PBCI,"",2003-09-10 00:00:00,2010-07-06 00:00:00
182,JQC,BBG000PPDFC5,2003-09-10 00:00:00,
195,EWU,"",2003-09-10 00:00:00,
269,ACU,BBG000BB3LM8,2003-09-10 00:00:00,
185,EVC,BBG000BTNV54,2003-09-10 00:00:00,
293,PAGI,"",2003-09-10 00:00:00,2008-01-06 00:00:00
189,KF,BBG000BMR6B3,2003-09-10 00:00:00,
8418,SMMF,"",2005-01-31 00:00:00,
12243,CSNT,"",2009-10-30 00:00:00,2010-07-21 00:00:00
261,APA,BBG000BC2C10,2003-09-10 00:00:00,
239,LFUS,BBG000BGFGT8,2003-09-10 00:00:00,
175,TSM,BBG000BD8ZK0,2003-09-10 00:00:00,
278,DAIO,BBG000BGWTV8,2003-09-10 00:00:00,
180,HLFC,"",2003-09-10 00:00:00,2005-08-28 00:00:00
210,RYL,"",2003-09-10 00:00:00,2015-09-30 00:00:00
273,LOGI,"",2003-09-10 00:00:00,
199,PFH,"",2003-09-10 00:00:00,
277,ASPT,"",2003-09-10 00:00:00,2005-09-22 00:00:00
219,FSB,"",2003-09-10 00:00:00,
188,CHC,"",2003-09-10 00:00:00,2008-12-07 00:00:00
171,MHM,"",2003-09-10 00:00:00,2015-07-30 00:00:00
198,FT,BBG000BJY819,2003-09-10 00:00:00,
174,SUSQ,"",2003-09-10 00:00:00,2015-08-02 00:00:00
264,WTRS,"",2003-09-10 00:00:00,2005-10-31 00:00:00
229,TPY,"",2003-09-10 00:00:00,2005-10-31 00:00:00
12320,STRI,BBG000HPF8K9,2009-11-06 00:00:00,2015-09-29 00:00:00
191,HQH,BBG000BLDGG3,2003-09-10 00:00:00,
193,PSEM,"",2003-09-10 00:00:00,2015-11-24 00:00:00
201,NRP,BBG000GMHBH2,2003-09-10 00:00:00,
156,BDJ,BBG000BZQ7P8,2003-09-10 00:00:00,
257,IDXC,"",2003-09-10 00:00:00,2006-01-04 00:00:00
253,CYG,"",2003-09-10 00:00:00,2006-01-24 00:00:00
295,STBA,BBG000CKB2S4,2003-09-10 00:00:00,
221,CIM,"",2003-09-10 00:00:00,2006-02-05 00:00:00
301,CBH,"",2003-09-10 00:00:00,2008-03-31 00:00:00
279,GFI,BBG000KHT4K7,2003-09-10 00:00:00,
263,OLG,"",2003-09-10 00:00:00,2006-02-05 00:00:00
187,TRI,"",2003-09-10 00:00:00,
222,GDF,"",2003-09-10 00:00:00,
209,NATI,"",2003-09-10 00:00:00,
255,CLCT,BBG00JYV4RS8,2003-09-10 00:00:00,
225,TPL,BBG00JNKZCH5,2003-09-10 00:00:00,
288,CMPX,"",2003-09-10 00:00:00,2006-02-26 00:00:00
227,PZC,BBG000BM6QZ6,2003-09-10 00:00:00,
181,ZAP,"",2003-09-10 00:00:00,2009-12-23 00:00:00
259,WRNC,"",2003-09-10 00:00:00,2008-05-14 00:00:00
231,BHB,BBG000JKM045,2003-09-10 00:00:00,
281,MCEL,BBG000BWFT79,2003-09-10 00:00:00,2008-06-12 00:00:00
10022,SXE,"",2006-10-18 00:00:00,
249,PZZA,BBG000BFWF13,2003-09-10 00:00:00,
276,TNL,"",2003-09-10 00:00:00,2010-11-14 00:00:00
244,NBTF,"",2003-09-10 00:00:00,2009-10-28 00:00:00
178,TOO,"",2003-09-10 00:00:00,2006-07-09 00:00:00
216,GAJ,"",2003-09-10 00:00:00,2010-12-13 00:00:00
274,IAAC,"",2003-09-10 00:00:00,2010-12-14 00:00:00
200,NBM,"",2003-09-10 00:00:00,2008-07-09 00:00:00
289,POH,"",2003-09-10 00:00:00,2011-03-01 00:00:00
245,LARL,"",2003-09-10 00:00:00,2006-08-28 00:00:00
167,NMIL,"",2003-09-10 00:00:00,2006-10-08 00:00:00
246,LWSN,"",2003-09-10 00:00:00,2011-07-05 00:00:00
169,ATCO,"",2003-09-10 00:00:00,2010-03-24 00:00:00
176,AXA,BBG000BL3H54,2003-09-10 00:00:00,2010-03-25 00:00:00
211,HCH,"",2003-09-10 00:00:00,2011-09-15 00:00:00
283,NT,"",2003-09-10 00:00:00,2009-01-14 00:00:00
251,TDK,BBG000BV0K03,2003-09-10 00:00:00,2009-04-27 00:00:00
202,DFG,"",2003-09-10 00:00:00,2012-05-15 00:00:00
267,IXN,BBG000BBTL04,2003-09-10 00:00:00,
262,MTMC,"",2003-09-10 00:00:00,2009-08-02 00:00:00
265,APD,BBG000BC4JJ4,2003-09-10 00:00:00,
12657,SKOR,"",2010-04-14 00:00:00,2012-08-19 00:00:00
152,OIB,"",2003-09-10 00:00:00,2012-08-26 00:00:00
286,GET,"",2003-09-10 00:00:00,2012-09-30 00:00:00
12324,ROICU,"",2009-11-09 00:00:00,2012-12-13 00:00:00
300,ATC,BBG000DSX015,2003-09-10 00:00:00,2012-12-16 00:00:00
157,FNLC,BBG000KN6TT5,2003-09-10 00:00:00,
285,ESV,"",2003-09-10 00:00:00,
292,EVY,"",2003-09-10 00:00:00,
177,KIRK,BBG000GMDQ01,2003-09-10 00:00:00,
294,ROL,BBG000BSBBP1,2003-09-10 00:00:00,
233,MBVT,"",2003-09-10 00:00:00,
296,NXN,BBG000CTM7S2,2003-09-10 00:00:00,
297,ODC,BBG000D61MB9,2003-09-10 00:00:00,
214,NMC,"",2003-09-10 00:00:00,2003-12-22 00:00:00
217,LATD,"",2003-09-10 00:00:00,2004-01-12 00:00:00
271,PCOR,"",2003-09-10 00:00:00,2004-01-19 00:00:00
158,PVTL,"",2003-09-10 00:00:00,2004-02-25 00:00:00
247,HXE,"",2003-09-10 00:00:00,2004-04-25 00:00:00
207,SFFB,"",2003-09-10 00:00:00,2004-05-02 00:00:00
220,KOY,"",2003-09-10 00:00:00,2004-05-02 00:00:00
236,DIT,BBG000JWS4F3,2003-09-10 00:00:00,
166,MRNS,"",2003-09-10 00:00:00,2004-05-31 00:00:00
272,HAKI,"",2003-09-10 00:00:00,2004-06-07 00:00:00
159,SYLN,"",2003-09-10 00:00:00,2004-06-13 00:00:00
268,FAIM,"",2003-09-10 00:00:00,2004-06-24 00:00:00
226,GSOF,"",2003-09-10 00:00:00,2004-07-20 00:00:00
256,GLYN,"",2003-09-10 00:00:00,2004-08-01 00:00:00
243,CERI,"",2003-09-10 00:00:00,2004-08-01 00:00:00
280,IJT,BBG000C16NW1,2003-09-10 00:00:00,
192,NCEN,"",2003-09-10 00:00:00,2004-09-30 00:00:00
242,CNJ,"",2003-09-10 00:00:00,2004-10-04 00:00:00
196,SPLN,"",2003-09-10 00:00:00,2004-12-12 00:00:00
284,PNG,"",2003-09-10 00:00:00,2005-01-25 00:00:00
325,RIMM,"",2003-09-10 00:00:00,2013-02-03 00:00:00
10023,AWI,BBG000DW4LB1,2006-10-18 00:00:00,
16647,CLSD,BBG002D4D4X3,2016-06-02 00:00:00,
12660,AXN,BBG000BDH697,2010-04-15 00:00:00,
307,CSC,"",2003-09-10 00:00:00,
372,XSS,"",2003-09-10 00:00:00,2006-11-28 00:00:00
309,JHS,BBG000BB2N81,2003-09-10 00:00:00,
16648,DWFI,"",2016-06-02 00:00:00,
423,AZZ,BBG000F83JZ2,2003-09-10 00:00:00,
400,BRX,BBG001LFLZZ1,2003-09-10 00:00:00,
315,BHE,BBG000C4JX31,2003-09-10 00:00:00,
388,CMNT,"",2003-09-10 00:00:00,2005-05-31 00:00:00
12662,GPRC,BBG000BDB498,2010-04-16 00:00:00,2014-10-07 00:00:00
324,MJI,"",2003-09-10 00:00:00,2015-04-12 00:00:00
303,DSWT,"",2003-09-10 00:00:00,2005-06-14 00:00:00
320,HNR,"",2003-09-10 00:00:00,
306,AWRE,BBG000H56MZ6,2003-09-10 00:00:00,
389,FCF,BBG000CND7W0,2003-09-10 00:00:00,
12661,CLDT,BBG000PT6BR8,2010-04-16 00:00:00,
342,RDEN,"",2003-09-10 00:00:00,
326,TTI,BBG000BVRQD7,2003-09-10 00:00:00,
8419,HOST,"",2005-01-31 00:00:00,2005-08-24 00:00:00
399,AMWD,BBG000BBX657,2003-09-10 00:00:00,
394,BRKR,BBG000CL1FG7,2003-09-10 00:00:00,
438,JMAR,"",2003-09-10 00:00:00,2006-12-25 00:00:00
449,BKH,BBG000BD9ZM7,2003-09-10 00:00:00,
332,LAQ,"",2003-09-10 00:00:00,
328,CPAK,"",2003-09-10 00:00:00,2007-04-15 00:00:00
334,AGU,"",2003-09-10 00:00:00,
446,NSO,"",2003-09-10 00:00:00,2005-09-11 00:00:00
336,BID,BBG00FZLQHC2,2003-09-10 00:00:00,
12327,ZAGG,BBG00JNKCGW4,2009-11-10 00:00:00,
12156,BUD,BBG000RYC984,2009-09-16 00:00:00,
391,SPM,BBG000BZWYK7,2003-09-10 00:00:00,2007-06-14 00:00:00
403,MIG,"",2003-09-10 00:00:00,2015-07-07 00:00:00
361,PFIN,BBG000HCS2F3,2003-09-10 00:00:00,
377,ILOG,"",2003-09-10 00:00:00,2008-12-29 00:00:00
392,CVTX,"",2003-09-10 00:00:00,2009-04-19 00:00:00
412,ITF,BBG000KBKLX7,2003-09-10 00:00:00,2015-09-08 00:00:00
337,IWS,BBG000JWZ6F0,2003-09-10 00:00:00,
339,ZQK,BBG007B6TWS6,2003-09-10 00:00:00,2015-09-09 00:00:00
450,HCC,"",2003-09-10 00:00:00,2015-10-27 00:00:00
379,WEB,"",2003-09-10 00:00:00,
346,PFV,"",2003-09-10 00:00:00,2007-06-21 00:00:00
408,TZF,"",2003-09-10 00:00:00,2016-03-01 00:00:00
353,SYK,BBG000DN7P92,2003-09-10 00:00:00,
360,EWP,BBG000BK58Q1,2003-09-10 00:00:00,
348,MFV,BBG000C2KRK7,2003-09-10 00:00:00,
356,FAX,BBG000BB3MF4,2003-09-10 00:00:00,
355,BDG,"",2003-09-10 00:00:00,
310,LXBK,"",2003-09-10 00:00:00,2007-07-31 00:00:00
436,WSCC,BBG000BNBP26,2003-09-10 00:00:00,2010-01-10 00:00:00
405,TSBK,BBG000C0B093,2003-09-10 00:00:00,
350,HRP,"",2003-09-10 00:00:00,2010-06-30 00:00:00
340,APHT,"",2003-09-10 00:00:00,2006-01-30 00:00:00
330,CIPH,"",2003-09-10 00:00:00,2007-08-26 00:00:00
397,LGVN,"",2003-09-10 00:00:00,2009-08-18 00:00:00
370,SEAC,BBG000HF9SB4,2003-09-10 00:00:00,
357,HNP,BBG000BX5YM0,2003-09-10 00:00:00,
11086,ROIC,BBG000TP7D24,2009-11-09 00:00:00,
369,ESP,BBG000BJ2HP8,2003-09-10 00:00:00,
12244,SMCGU,"",2009-10-30 00:00:00,2010-08-04 00:00:00
313,NBSC,"",2003-09-10 00:00:00,2007-09-24 00:00:00
427,MNDO,"",2003-09-10 00:00:00,
373,BDL,BBG000BCZHJ4,2003-09-10 00:00:00,
428,TCP,"",2003-09-10 00:00:00,2006-03-30 00:00:00
409,APTI,"",2003-09-10 00:00:00,2006-04-30 00:00:00
441,XKA,"",2003-09-10 00:00:00,2006-06-18 00:00:00
396,DCTH,"",2003-09-10 00:00:00,
378,SNH,BBG00D0MYVL3,2003-09-10 00:00:00,
351,KRI,"",2003-09-10 00:00:00,2006-06-27 00:00:00
381,BLH,"",2003-09-10 00:00:00,
312,PMU,"",2003-09-10 00:00:00,2010-09-08 00:00:00
395,SRB,"",2003-09-10 00:00:00,2006-08-23 00:00:00
384,VII,"",2003-09-10 00:00:00,
364,STIZ,"",2003-09-10 00:00:00,2006-09-12 00:00:00
333,PACW,"",2003-09-10 00:00:00,2006-09-24 00:00:00
416,OCNB,"",2003-09-10 00:00:00,2006-10-08 00:00:00
419,CHF,"",2003-09-10 00:00:00,2007-11-26 00:00:00
440,PMM,BBG000C14561,2003-09-10 00:00:00,
418,TRT,BBG000FDTLH8,2003-09-10 00:00:00,
415,OMNI,"",2003-09-10 00:00:00,2010-10-27 00:00:00
345,MAM,"",2003-09-10 00:00:00,2010-12-21 00:00:00
404,NFI,"",2003-09-10 00:00:00,2008-01-16 00:00:00
411,VPV,BBG000BGHY71,2003-09-10 00:00:00,
323,BNCC,BBG000FFLF20,2003-09-10 00:00:00,2008-01-29 00:00:00
335,ALQ,"",2003-09-10 00:00:00,2011-05-18 00:00:00
321,SBSA,"",2003-09-10 00:00:00,2011-07-11 00:00:00
417,PRM,"",2003-09-10 00:00:00,2011-07-13 00:00:00
359,CRDS,"",2003-09-10 00:00:00,
302,CTT,BBG00JPVP9J5,2003-09-10 00:00:00,
401,SPN,"",2003-09-10 00:00:00,
344,DOCX,"",2003-09-10 00:00:00,2008-03-06 00:00:00
305,SSYS,"",2003-09-10 00:00:00,
349,NSM,"",2003-09-10 00:00:00,2011-09-25 00:00:00
12328,RIH,"",2009-11-10 00:00:00,2011-10-27 00:00:00
426,NTGR,BBG000C4GBR6,2003-09-10 00:00:00,
354,AZL,"",2003-09-10 00:00:00,2008-03-19 00:00:00
422,RSTO,"",2003-09-10 00:00:00,2008-06-17 00:00:00
414,BRN,BBG000BDQW54,2003-09-10 00:00:00,
102,FLML,"",2003-09-10 00:00:00,
341,CNN,"",2003-09-10 00:00:00,2008-07-20 00:00:00
433,MAGS,"",2003-09-10 00:00:00,
331,FPFC,"",2003-09-10 00:00:00,2011-11-09 00:00:00
424,CIG,BBG000BBKV10,2003-09-10 00:00:00,
430,BNT,"",2003-09-10 00:00:00,2008-07-22 00:00:00
314,TRCR,"",2003-09-10 00:00:00,2012-04-26 00:00:00
367,SOA,"",2003-09-10 00:00:00,2012-07-02 00:00:00
382,XLTC,"",2003-09-10 00:00:00,2008-09-01 00:00:00
12157,DENT,"",2009-09-16 00:00:00,2012-08-08 00:00:00
445,EDGR,"",2003-09-10 00:00:00,2012-08-14 00:00:00
304,IMT,"",2003-09-10 00:00:00,2012-10-14 00:00:00
435,NAN,BBG000BWM1B7,2003-09-10 00:00:00,
437,BHV,BBG000DXJJH2,2003-09-10 00:00:00,
443,GAB,BBG000BK1WL7,2003-09-10 00:00:00,
425,MPH,"",2003-09-10 00:00:00,2003-10-14 00:00:00
442,EBSC,"",2003-09-10 00:00:00,2003-10-26 00:00:00
385,DLE,"",2003-09-10 00:00:00,2003-11-05 00:00:00
407,MUSE,"",2003-09-10 00:00:00,2004-01-01 00:00:00
387,HDR,"",2003-09-10 00:00:00,2004-01-13 00:00:00
429,AZO,BBG000C7LMS8,2003-09-10 00:00:00,
347,VXGN,"",2003-09-10 00:00:00,2004-05-19 00:00:00
375,MNY,"",2003-09-10 00:00:00,2004-07-08 00:00:00
432,TROV,"",2003-09-10 00:00:00,2004-07-18 00:00:00
308,PENG,"",2003-09-10 00:00:00,2004-07-28 00:00:00
383,PHOC,"",2003-09-10 00:00:00,2004-08-31 00:00:00
319,GPT,"",2003-09-10 00:00:00,2004-10-03 00:00:00
374,MODI,BBG000BP7CL4,2003-09-10 00:00:00,2004-10-14 00:00:00
352,SIGY,"",2003-09-10 00:00:00,2004-11-15 00:00:00
316,MRQQ,"",2003-09-10 00:00:00,2004-11-25 00:00:00
338,KML,"",2003-09-10 00:00:00,2004-11-30 00:00:00
327,HOMZ,"",2003-09-10 00:00:00,2004-12-15 00:00:00
16649,ZDGE,BBG00B9QVTS0,2016-06-02 00:00:00,
238,GTPS,BBG000FD5BY7,2003-09-10 00:00:00,2005-01-30 00:00:00
570,KSA,"",2003-09-10 00:00:00,2013-04-01 00:00:00
545,RLI,BBG000BS7ZF4,2003-09-10 00:00:00,
549,URI,BBG000BXMFC3,2003-09-10 00:00:00,
515,NBJ,"",2003-09-10 00:00:00,2013-04-07 00:00:00
458,UWN,"",2003-09-10 00:00:00,
530,GGG,BBG000BK9W84,2003-09-10 00:00:00,
511,MRN,"",2003-09-10 00:00:00,2008-12-14 00:00:00
551,SRL,"",2003-09-10 00:00:00,2005-06-05 00:00:00
523,ROBO,BBG005FHK617,2003-09-10 00:00:00,
567,WPO,"",2003-09-10 00:00:00,2013-11-28 00:00:00
547,BOSA,"",2003-09-10 00:00:00,2005-08-28 00:00:00
560,EUF,"",2003-09-10 00:00:00,2005-09-13 00:00:00
543,JZV,"",2003-09-10 00:00:00,2014-01-06 00:00:00
548,DOV,BBG000BHB3M6,2003-09-10 00:00:00,
598,CVGR,"",2003-09-10 00:00:00,2006-10-29 00:00:00
593,SPCH,"",2003-09-10 00:00:00,2005-09-20 00:00:00
12664,GBDC,BBG000PXNF64,2010-04-16 00:00:00,
539,MTF,"",2003-09-10 00:00:00,2005-10-02 00:00:00
589,MNDX,"",2003-09-10 00:00:00,2009-03-30 00:00:00
486,VCLK,"",2003-09-10 00:00:00,2014-02-04 00:00:00
535,TSCC,"",2003-09-10 00:00:00,2005-10-24 00:00:00
509,FBNW,"",2003-09-10 00:00:00,2006-11-30 00:00:00
482,HGM,"",2003-09-10 00:00:00,2009-06-01 00:00:00
502,VASC,"",2003-09-10 00:00:00,
481,WTM,"",2003-09-10 00:00:00,
4873,CGI,BBG000BC8305,2009-11-11 00:00:00,
583,BOH,BBG000C8D8G9,2003-09-10 00:00:00,
578,OSK,BBG000CC53X1,2003-09-10 00:00:00,
516,NPO,BBG000BW2FF4,2003-09-10 00:00:00,
490,VMO,BBG000CT8BC6,2003-09-10 00:00:00,
540,KTZ,"",2003-09-10 00:00:00,2006-12-04 00:00:00
489,LNG,BBG000C3HSR0,2003-09-10 00:00:00,
