securityid,ticker,figi,mindate,maxdate
12318,ACOM,"",2009-11-06 00:00:00,2012-12-30 00:00:00
26,RELV,"",2003-09-10 00:00:00,
117,LMLP,"",2003-09-10 00:00:00,2013-01-13 00:00:00
12155,CNICD,"",2009-09-14 00:00:00,2009-10-11 00:00:00
16645,DTJ,"",2016-06-02 00:00:00,
143,CEDC,"",2003-09-10 00:00:00,2013-04-11 00:00:00
105,CMGI,"",2003-09-10 00:00:00,2008-09-29 00:00:00
5,MHP,"",2003-09-10 00:00:00,2013-05-13 00:00:00
149,PHM,BBG000BR54L0,2003-09-10 00:00:00,
106,EOG,BBG000BZ9223,2003-09-10 00:00:00,
81,MRO,BBG000C8H633,2003-09-10 00:00:00,
87,PFBI,BBG000BYQ263,2003-09-10 00:00:00,
32,MNST,"",2003-09-10 00:00:00,2008-11-09 00:00:00
8417,COGO,"",2005-01-31 00:00:00,2013-11-25 00:00:00
129,EBIO,"",2003-09-10 00:00:00,
124,REY,"",2003-09-10 00:00:00,2006-10-26 00:00:00
107,MCM,"",2003-09-10 00:00:00,2006-11-07 00:00:00
21,WST,BBG000BX24N8,2003-09-10 00:00:00,
108,NXXI,"",2003-09-10 00:00:00,2009-10-19 00:00:00
141,BRE,"",2003-09-10 00:00:00,2014-04-01 00:00:00
11,MTZ,BBG000DYXD23,2003-09-10 00:00:00,
146,BPN,"",2003-09-10 00:00:00,2007-02-08 00:00:00
34,IJD,"",2003-09-10 00:00:00,2010-09-15 00:00:00
61,DXT,"",2003-09-10 00:00:00,2005-02-08 00:00:00
44,BE,"",2003-09-10 00:00:00,2008-11-16 00:00:00
29,LBF,"",2003-09-10 00:00:00,
94,AMRI,"",2003-09-10 00:00:00,
109,JUNO,"",2003-09-10 00:00:00,
112,GBTS,"",2003-09-10 00:00:00,2009-01-01 00:00:00
12656,CAK,"",2010-04-13 00:00:00,2015-04-22 00:00:00
103,SIAL,"",2003-09-10 00:00:00,2015-11-18 00:00:00
25,PMT,"",2003-09-10 00:00:00,2005-02-28 00:00:00
20,VTA,"",2003-09-10 00:00:00,
93,GHI,"",2003-09-10 00:00:00,2016-04-11 00:00:00
43,HFFC,"",2003-09-10 00:00:00,2016-05-16 00:00:00
9,STRD,"",2003-09-10 00:00:00,2007-03-28 00:00:00
137,RAVN,BBG00BCQ62P6,2003-09-10 00:00:00,
97,MFL,BBG000GNSW64,2003-09-10 00:00:00,
42,GPX,BBG00K16HLP8,2003-09-10 00:00:00,
51,OOM,"",2003-09-10 00:00:00,2005-03-13 00:00:00
104,TAGS,BBG0029X30S9,2003-09-10 00:00:00,
35,AKF,"",2003-09-10 00:00:00,2010-11-09 00:00:00
98,ROME,"",2003-09-10 00:00:00,2005-03-30 00:00:00
49,TER,BBG000BV4DR6,2003-09-10 00:00:00,
15,WMSI,"",2003-09-10 00:00:00,2007-05-15 00:00:00
75,AMU,"",2003-09-10 00:00:00,2007-05-20 00:00:00
78,PTEN,BBG000BKXFN7,2003-09-10 00:00:00,
17,DIOD,BBG000G25P51,2003-09-10 00:00:00,
113,HELE,"",2003-09-10 00:00:00,
19,MKT,"",2003-09-10 00:00:00,2005-04-18 00:00:00
14,VSAT,BBG000HHLBF9,2003-09-10 00:00:00,
63,FD,"",2003-09-10 00:00:00,2007-05-31 00:00:00
58,HL,BBG000BL5W86,2003-09-10 00:00:00,
130,MGG,BBG000C2BXK4,2003-09-10 00:00:00,2005-05-02 00:00:00
40,PHTN,"",2003-09-10 00:00:00,2005-05-15 00:00:00
73,TLX,"",2003-09-10 00:00:00,2010-11-16 00:00:00
