securityid,ticker,figi,mindate,maxdate
8435,GRVY,BBG000QSHJR0,2005-02-08 00:00:00,
116,CHRT,"",2003-09-10 00:00:00,2009-12-20 00:00:00
10,VAST,"",2003-09-10 00:00:00,2005-04-03 00:00:00
85,PAS,"",2003-09-10 00:00:00,2010-02-28 00:00:00
126,IKL,"",2003-09-10 00:00:00,2012-06-20 00:00:00
38,TLB,"",2003-09-10 00:00:00,2012-08-05 00:00:00
150,PEET,"",2003-09-10 00:00:00,2012-10-30 00:00:00
114,GEC,"",2003-09-10 00:00:00,2012-12-02 00:00:00
21972,CMLTU,"",2021-04-07 00:00:00,2021-12-19 00:00:00
66,IPG,BBG000C90DH9,2003-09-10 00:00:00,
135,LNET,"",2003-09-10 00:00:00,2013-01-13 00:00:00
12258,ALLB,"",2009-10-30 00:00:00,2015-10-11 00:00:00
69,UNP,BBG000BW3299,2003-09-10 00:00:00,
143,JBX,BBG000GZYVY1,2003-09-10 00:00:00,2008-12-19 00:00:00
34,ROC,BBG013FX4TF9,2003-09-10 00:00:00,2004-01-01 00:00:00
90,MAPX,"",2003-09-10 00:00:00,2005-04-18 00:00:00
30,ICCA,"",2003-09-10 00:00:00,2007-08-20 00:00:00
78,EGLS,"",2003-09-10 00:00:00,2009-03-22 00:00:00
108,HCM,"",2003-09-10 00:00:00,2009-04-19 00:00:00
36,IVAN,"",2003-09-10 00:00:00,2022-02-03 00:00:00
7,NBG,"",2003-09-10 00:00:00,2015-11-29 00:00:00
8,DOM,BBG000BSDK51,2003-09-10 00:00:00,2016-01-05 00:00:00
137,PCP,"",2003-09-10 00:00:00,2016-01-31 00:00:00
47,SRJ,"",2003-09-10 00:00:00,2005-06-05 00:00:00
12257,BWINA,"",2009-10-30 00:00:00,2018-07-31 00:00:00
15890,EMIH,"",2015-03-03 00:00:00,2024-05-18 00:00:00
4,NIO,"",2003-09-10 00:00:00,2016-04-10 00:00:00
2,CFNL,"",2003-09-10 00:00:00,2024-05-18 00:00:00
51,EOC,"",2003-09-10 00:00:00,2016-04-26 00:00:00
88,EPD,BBG000BR3012,2003-09-10 00:00:00,
144,LG,"",2003-09-10 00:00:00,2016-04-28 00:00:00
96,NTII,"",2003-09-10 00:00:00,2007-09-16 00:00:00
110,FEV,"",2003-09-10 00:00:00,2009-05-28 00:00:00
93,BAX,BBG000BCVJ77,2003-09-10 00:00:00,
79,HGT,BBG000CY5SF8,2003-09-10 00:00:00,2024-05-18 00:00:00
22,HPQ,BBG000KHWT55,2003-09-10 00:00:00,
83,VTR,BBG000FRVHB9,2003-09-10 00:00:00,
64,DHF,BBG000C2LBM9,2003-09-10 00:00:00,
98,UNH,BBG000CH5208,2003-09-10 00:00:00,
99,BRN,BBG000BDQW54,2003-09-10 00:00:00,
32,AGU,"",2003-09-10 00:00:00,2024-05-18 00:00:00
20,MBVT,"",2003-09-10 00:00:00,2024-05-18 00:00:00
12841,QLIK,"",2010-07-19 00:00:00,2024-05-18 00:00:00
117,SIVB,BBG000BT0CM2,2003-09-10 00:00:00,2005-08-18 00:00:00
52,VUL,BBG000BWL4Y7,2003-09-10 00:00:00,2005-10-03 00:00:00
105,DCO,BBG000BH02M0,2003-09-10 00:00:00,
139,FORD,BBG000BJRHG1,2003-09-10 00:00:00,
67,ORBK,"",2003-09-10 00:00:00,2024-05-18 00:00:00
7061,BPA,"",2003-10-01 00:00:00,2007-11-04 00:00:00
95,IART,BBG000BZJQL8,2003-09-10 00:00:00,
72,CLC,"",2003-09-10 00:00:00,2024-05-18 00:00:00
141,BNN,"",2003-09-10 00:00:00,2005-10-04 00:00:00
94,CETV,"",2003-09-10 00:00:00,2024-05-18 00:00:00
28,CACS,"",2003-09-10 00:00:00,2008-02-10 00:00:00
59,MCZ,BBG000BMZ9S0,2003-09-10 00:00:00,2024-05-18 00:00:00
123,HSIC,BBG000BNMMJ3,2003-09-10 00:00:00,
25,CARS,"",2003-09-10 00:00:00,2005-12-18 00:00:00
118,VAR,BBG008B8PCS8,2003-09-10 00:00:00,2024-05-18 00:00:00
